1.54E+12,26188,5149645,4262713,3573391,4524993,4731457,5014758,8185131,5582086
1.54E+12,26189,5149956,4263086,3573604,4525848,4747057,5016613,8187227,5585599
1.54E+12,26190,5150161,4263812,3572977,4527061,4863977,5016105,8187491,5594232
1.54E+12,26191,5149757,4265041,3573569,4528280,4901844,5012918,8185212,5596500
1.54E+12,26192,5149519,4264511,3573552,4527834,4916056,5010816,8183141,5595346
1.54E+12,26193,5149372,4264868,3573142,4527972,4915647,5010251,8181948,5595584
1.54E+12,26194,5149101,4264087,3572956,4527767,4912681,5008660,8181603,5594891
1.54E+12,26195,5148872,4264984,3572690,4527032,4913416,5008354,8180144,5594190
1.54E+12,26196,5148656,4263921,3572170,4526374,4911803,5007106,8180238,5594032
1.54E+12,26197,5148100,4264088,3572421,4526215,4909830,5006912,8179299,5593970
1.54E+12,26198,5147967,4264154,3572536,4526582,4915427,5006270,8179221,5593665
1.54E+12,26199,5147912,4263776,3572082,4525860,4914802,5006020,8178765,5593186
1.54E+12,26200,5147803,4263999,3572441,4526227,4914839,5005810,8179461,5593369
1.54E+12,26201,5147787,4263876,3571900,4526838,4913697,5004903,8178921,5592694
1.54E+12,26202,5148075,4263873,3572261,4526738,4911621,5004802,8179553,5593300
1.54E+12,26203,5147605,4264072,3571984,4526419,4912457,5004999,8179942,5593099
1.54E+12,26204,5148094,4263553,3571746,4526732,4911807,5004408,8180306,5592988
1.54E+12,26205,5148101,4264067,3571807,4526790,4909549,5004538,8180286,5592620
1.54E+12,26206,5147558,4263723,3571449,4525963,4907282,5004062,8179937,5593400
1.54E+12,26207,5148016,4263758,3571573,4526850,4906081,5003558,8180740,5592906
1.54E+12,26208,5147715,4264025,3571795,4526089,4905329,5004076,8180421,5593477
1.54E+12,26209,5147594,4263861,3571797,4526842,4902566,5003719,8181246,5593414
1.54E+12,26210,5147840,4263617,3571829,4525861,4901508,5003657,8181065,5593157
1.54E+12,26211,5148048,4263635,3572068,4526140,4898979,5003463,8181810,5593514
1.54E+12,26212,5147629,4263946,3572140,4525701,4898457,5003550,8181748,5593112
1.54E+12,26213,5147474,4264564,3571606,4526086,4898840,5003672,8181766,5593221
1.54E+12,26214,5147170,4263753,3571374,4525665,4896471,5003895,8180727,5592226
1.54E+12,26215,5147072,4263310,3571445,4524983,4891947,5003111,8180883,5591506
1.54E+12,26216,5147578,4262417,3571192,4524237,4869681,5003981,8181337,5591087
1.54E+12,26217,5147548,4261053,3570923,4523466,4894747,5004675,8180788,5589171
1.54E+12,26218,5147611,4260311,3570755,4522516,4784872,5004649,8180727,5582985
1.54E+12,26219,5146940,4260388,3570569,4521559,4747850,5005255,8180526,5572068
1.54E+12,26220,5146808,4260941,3570120,4521860,4687645,5006636,8182293,5572513
1.54E+12,26221,5147546,4260846,3570243,4521704,4682807,5007545,8181885,5573384
1.54E+12,26222,5147655,4260863,3570348,4522231,4684426,5008186,8182611,5573972
1.54E+12,26223,5147244,4261423,3570734,4522766,4686045,5009537,8182466,5574112
1.54E+12,26224,5147725,4261779,3571258,4522687,4688382,5009984,8182344,5574495
1.54E+12,26225,5147684,4261870,3570313,4522859,4691405,5010984,8182379,5574553
1.54E+12,26226,5148312,4261891,3570476,4523203,4694389,5011604,8183041,5574730
1.54E+12,26227,5148339,4261950,3571822,4522506,4696552,5010727,8182419,5575062
1.54E+12,26228,5148695,4262404,3571773,4523320,4696844,5011961,8182176,5575727
1.54E+12,26229,5148628,4262530,3571768,4522321,4699722,5011632,8181838,5575198
1.54E+12,26230,5148511,4262281,3572110,4522769,4700265,5012646,8182149,5575054
1.54E+12,26231,5148458,4262236,3571862,4522568,4701047,5013081,8181970,5575067
1.54E+12,26232,5148143,4262305,3571527,4522950,4702993,5012949,8181403,5575266
1.54E+12,26233,5148412,4262398,3571344,4523091,4704177,5012868,8181836,5575426
1.54E+12,26234,5148427,4262911,3571866,4523234,4705719,5012448,8181131,5575335
1.54E+12,26235,5148035,4262073,3571831,4522508,4707962,5012908,8182062,5577301
1.54E+12,26236,5148890,4262974,3572754,4524291,4722131,5015240,8183604,5579895
1.54E+12,26237,5150233,4262121,3573106,4525784,4734955,5016166,8186234,5583937
1.54E+12,26238,5150131,4263165,3573965,4526640,4775939,5016240,8186973,5588151
1.54E+12,26239,5150331,4264221,3573580,4526929,4872562,5014744,8186475,5595907
1.54E+12,26240,5149825,4264622,3573475,4527365,4925260,5012709,8184119,5595497
1.54E+12,26241,5149614,4264611,3573138,4528191,4931388,5010346,8182513,5595749
1.54E+12,26242,5149193,4264180,3573269,4527439,4923976,5009585,8181904,5595086
1.54E+12,26243,5148829,4264727,3572313,4527506,4920774,5009166,8180999,5594359
1.54E+12,26244,5148513,4264491,3572696,4527532,4916746,5007520,8180464,5594200
1.54E+12,26245,5148398,4264009,3572185,4527172,4913130,5006794,8179826,5594096
